order_id,timestamp,city,restaurant_id,cuisine,order_value,delivery_time_min,surge_applied
ORD183810,2025-01-01T00:53:00,Pune,R0346,Italian,949,26,0
ORD114592,2025-01-01T00:53:00,Bangalore,R0396,Biryani,622,59,0
ORD103278,2025-01-01T00:56:00,Bangalore,R0441,Fast Food,1407,35,0
ORD197196,2025-01-01T01:08:00,Pune,R0343,Italian,994,59,0
ORD136048,2025-01-01T01:08:00,Delhi,R0673,North Indian,1087,35,1
ORD132098,2025-01-01T01:08:00,Mumbai,R0672,Continental,343,43,1
ORD129256,2025-01-01T01:13:00,Kolkata,R0197,Italian,902,43,0
ORD118289,2025-01-01T01:13:00,Bangalore,R0002,North Indian,818,72,0
ORD196530,2025-01-01T01:21:00,Pune,R0491,Chinese,285,32,0
ORD113434,2025-01-01T01:23:00,Chennai,R0687,Fast Food,765,38,0
ORD188696,2025-01-01T01:23:00,Kolkata,R0325,Chinese,1217,61,1
ORD197080,2025-01-01T01:37:00,Pune,R0291,Fast Food,1226,19,1
ORD171482,2025-01-01T02:06:00,Pune,R0644,Fast Food,616,81,1
ORD111395,2025-01-01T02:06:00,Hyderabad,R0457,Desserts,1391,72,0
ORD177397,2025-01-01T02:06:00,Kolkata,R0782,Biryani,1591,77,0
ORD155302,2025-01-01T02:59:00,Mumbai,R0549,North Indian,1455,74,0
ORD104165,2025-01-01T02:59:00,Chennai,R0719,Continental,1095,81,0
ORD103905,2025-01-01T02:59:00,Kolkata,R0636,Fast Food,555,90,0
ORD112280,2025-01-01T04:09:00,Mumbai,R0703,North Indian,488,42,1
ORD128657,2025-01-01T04:21:00,Delhi,R0292,Italian,1077,57,0
ORD130495,2025-01-01T04:37:00,Kolkata,R0641,Fast Food,356,52,0
ORD166237,2025-01-01T04:37:00,Delhi,R0251,North Indian,224,14,0
ORD178907,2025-01-01T04:47:00,Delhi,R0002,Fast Food,1487,33,0
ORD103478,2025-01-01T05:02:00,Delhi,R0101,Continental,838,40,0
ORD173563,2025-01-01T06:20:00,Mumbai,R0363,North Indian,1291,68,0
ORD126062,2025-01-01T06:37:00,Mumbai,R0437,Italian,1222,20,0
ORD193850,2025-01-01T06:37:00,Chennai,R0415,South Indian,1264,34,0
ORD185181,2025-01-01T06:37:00,Kolkata,R0121,Continental,358,71,0
ORD191924,2025-01-01T07:08:00,Bangalore,R0038,South Indian,638,87,1
ORD171426,2025-01-01T07:16:00,Bangalore,R0189,Beverages,1019,64,0
ORD154987,2025-01-01T07:16:00,Kolkata,R0425,Continental,933,56,0
ORD128893,2025-01-01T07:16:00,Kolkata,R0351,Biryani,848,84,1
ORD158878,2025-01-01T07:16:00,Chennai,R0578,North Indian,823,32,0
ORD177236,2025-01-01T07:25:00,Delhi,R0339,Fast Food,386,83,1
ORD136463,2025-01-01T07:25:00,Bangalore,R0679,North Indian,1428,53,1
ORD100851,2025-01-01T07:25:00,Hyderabad,R0367,Continental,925,22,0
ORD199458,2025-01-01T07:30:00,Hyderabad,R0376,North Indian,906,50,0
ORD120926,2025-01-01T07:44:00,Chennai,R0580,North Indian,337,17,0
